state,migpuma_name,net migration,raw net migration,migpuma1,n_obs_for_median_real_wage,mean_nominal_wage,median_nominal_wage,median_real_wage,mean_real_wage,migpuma_population,top_place_population,proportion_in_named_place,n_out,n_in,n_obs_n_in,net migration (not foreign)
Minnesota,"Winona, Wabasha, Fillmore & Houston Counties",-0.003338577491584955,-365,2600,612,90670.81881243063,79646.3076923073,66134.16666666666,76762.11126526083,109328,109328,1,905,540,42,-0.003338577491584955
Ohio,Hancock & Putnam Counties,-0.003439950624455417,-379,2400,474,103714.44404555584,91242,77742.20408163265,88864.36976974498,110176,110176,1,1110,731,39,-0.004492811501597444
Arizona,Coconino County,-0.003529124525565807,-477,400,589,92404.93026052104,77911.31034482768,63288.52459016394,76206.38276553106,135161,135161,1,2545,2068,102,-0.0039582423924060936
Ohio,Huron & Ashland Counties,-0.0035794992316731445,-396,2100,293,88734.39689922481,77040.83333333334,65829.73913043483,75476.20952380952,110630,110630,1,597,201,15,-0.0035794992316731445
Florida,Alachua County,-0.0036041696665052208,-826,100,1443,92419.41519642436,72406.14634146314,57622.533333333246,76451.88002822865,229179,229179,1,5073,4247,241,-0.005179357620026268
Alaska,Subsistence Alaska,-0.00362308995226579,-400,400,421,94581.59351059036,83919.34782608697,69894.96153846155,79320.49211356467,110403,110403,1,1239,839,86,-0.0037861290001177505
Iowa,Black Hawk County,-0.0037298595536893004,-469,500,417,91673.37783098873,79222.66666666688,63777.23076923083,77750.68163224583,125742,125742,1,2050,1581,56,-0.0038332458526188543
Alabama,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",-0.003735214774849554,-432,1700,233,78219.78852040817,63794.34782608699,53995.84337349398,66350.1262755102,115656,115656,1,661,229,14,-0.0038822023933042815
Illinois,"Jackson, Williamson, Franklin & Perry Counties",-0.003832626668885153,-668,900,687,74773.4290564689,63884,52005.99999999997,62673.63241601144,174293,174293,1,2059,1391,72,-0.003832626668885153
Michigan,Allegan County,-0.0038933784952966516,-423,900,339,96239.8531313819,82520.2181818182,67978.96739130437,80839.39908100749,108646,108646,1,813,390,21,-0.0038933784952966516
Missouri,Boone County,-0.003900789715774005,-653,600,765,92306.68201836581,75000,61027.07692307693,77769.01204085458,167402,167402,1,4849,4196,130,-0.005059676706371489
Georgia,Central Savannah River Area Regional Commission,-0.003943871764924931,-699,4000,591,78856.52362914864,65858,51672.50000000009,65538.99657287158,177237,177237,1,2365,1666,93,-0.004434739924507863
Colorado,"Eagle, Summit, Grand & Jackson Counties",-0.004038880682581165,-391,400,563,97210.35222306999,78304.95061728392,54896.34177215189,74519.52666990359,96809,96809,1,2161,1770,82,-0.004968546312842814
Texas,North Central Texas COG,-0.00416942810882459,-497,2200,405,98817.27691598833,81410.23529411765,66319.26582278482,82682.62171709415,119201,119201,1,1013,516,36,-0.00416942810882459
North Carolina,Harnett County,-0.0044103992571959145,-513,3800,583,83959.78600089166,77279,61256.00000000004,68977.4641105662,116316,116316,1,1601,1088,79,-0.004874651810584958
North Carolina,Pitt County,-0.004849289946393304,-825,4200,618,93035.55590040206,72885.44736842111,57736.40298507463,77905.77019115469,170128,170128,1,2752,1927,67,-0.0055017398664534934
