res_stname,res_state,res_puma,place_name,pop,real_wage_high_skill,real_wage_low_skill,nominal_wage_everyone,nominal_wage_high_skill,nominal_wage_low_skill,n_move_in_high_skill,n_move_in_low_skill,n_move_out_high_skill,n_move_out_low_skill,net_mig_low_skill,net_mig_high_skill
Florida,12,8100,Manatee County,72823,81413.67091507107,46393.699971719456,73568.97201542396,100720.92734641136,60495.18266402715,3636,7802,2892,6107,0.023275613473765156,0.010216552462820811
Florida,12,7300,Leon County,72821,79253.16239882266,41208.89404541556,77219.11021467231,96106.62420897718,54043.51406257054,5897,6202,5296,6095,0.001469356366982052,0.008253113799590777
New Jersey,34,2200,Gloucester County,72612,107830.71855521156,63214.83828624012,103352.61187125038,133658.7309391125,83482.36897802317,2108,3544,2185,3602,-7.987660441800253e-4,-0.0010604307827907233
Florida,12,6900,Lake,72577,79553.86914757364,43718.688676864054,66542.32175063348,95472.01857122527,56279.866323388356,3025,6956,2587,6337,0.008528872783388677,0.00603496975625887
Georgia,13,5e3,Atlanta Regional Commission,72198,58102.705179589946,37471.265422165,54778.49403080107,71185.61129952212,49069.18334942603,2254,9659,1753,8274,0.019183356879691957,0.006939250394747777
Texas,48,500,South Plains Association of Governments,71741,81965.53677055906,47451.57584172163,72413.7475115572,98047.38478966383,59204.22649963712,3501,8675,3801,7742,0.013005115624259489,-0.0041817092039419575
South Carolina,45,1100,Horry County,71245,70857.01334738321,36349.450822306746,58253.136070119646,85946.17246224095,47694.11820324637,2906,7694,2461,6615,0.015144922450698295,0.006246052354551197
South Carolina,45,300,Spartanburg County,71168,79210.88975125644,45775.57295918367,67027.20831209049,93613.20974616706,55805.25996240602,2163,6998,2203,6845,0.0021498426258992807,-5.620503597122302e-4
Florida,12,3300,Escambia County,71138,71264.91917745446,38263.137992831544,61790.56279779631,86899.45509222134,49704.78828232699,2720,6118,2849,5723,0.005552587927689842,-0.0018133768168911131
Pennsylvania,42,100,Erie County,70877,78723.83641718065,45612.528302917715,68632.86280471053,93526.3855086959,56393.524806032125,3122,4746,3643,4765,-2.6807003682435766e-4,-0.0073507625887100185
North Carolina,37,4690,New Hanover County,70853,81420.36728759654,40675.33496261289,73325.17692758444,100594.41762835075,53896.95733661347,4652,4667,3986,4645,3.105020253200288e-4,0.00939974313014269
Washington,53,11400,Thurston County,69625,82172.9286154162,48316.00424964328,78601.1147629727,102191.87103561532,64341.871735219305,3739,5485,3392,5285,0.002872531418312388,0.004983842010771993
Oklahoma,40,900,Cleveland County,69199,80238.01863206427,56261.14115830623,80071.60442890442,95857.55891439707,69161.29608094346,3361,5120,3477,5761,-0.009263139640746253,-0.0016763248023815374
