statefip,sea,skill,hhinc,cost,costShared,incShared,stay,inMig,outMig,year,index,basePop,basePopTot,netMig,lr,lincShared
Georgia,075,1,33007.215,5048.3203,199.52803,21875.873,63020,11177,11015,1940,16.39529854910714,74035,249880,.00064831116,10.238491,9.9931393
Georgia,075,0,16875.361,2568.9463,199.52803,21875.873,163872,14518,11973,1940,16.39529854910714,175845,249880,.010184889,9.5684633,9.9931393
Georgia,076,1,15617.864,2612.9634,128.0509,10505.918,16439,2834,2478,1940,16.39529854910714,18917,126595,.0028121173,9.4730816,9.2596941
Georgia,076,0,9332.582,2035.3511,128.0509,10505.918,99306,6694,8372,1940,16.39529854910714,107678,126595,-.013254868,8.8952503,9.2596941
Georgia,077,0,5688.8242,1511.7261,96.58889,6953.6216,58117,3900,3228,1940,16.39529854910714,61345,70173,.0095763328,8.3373718,8.8470182
Georgia,077,1,13633.122,2316.0515,96.58889,6953.6216,7128,1500,1700,1940,16.39529854910714,8828,70173,-.002850099,9.3340673,8.8470182
Georgia,079,0,14365.298,1880.6879,145.76672,18619.771,26607,2989,3430,1940,16.39529854910714,30037,37037,-.011907012,9.4322519,9.8319798
Georgia,079,1,40583.578,5006.5283,145.76672,18619.771,6000,1900,1000,1940,16.39529854910714,7000,37037,.024300024,10.479456,9.8319798
Georgia,080,0,12068.397,1640.5347,135.25409,15795.076,26907,2787,1887,1940,16.39529854910714,28794,37097,.024260722,9.2522364,9.6674538
Georgia,080,1,23358.967,4178.2012,135.25409,15795.076,6703,1700,1600,1940,16.39529854910714,8303,37097,.0026956357,9.8616629,9.6674538
Georgia,081,1,13626.36,3842.7214,181.78534,5761.4253,8427,1100,1387,1940,16.39529854910714,9814,74755,-.003839208,9.188467,8.6589403
Georgia,081,0,4592.9282,2925.5242,181.78534,5761.4253,59988,1787,4953,1940,16.39529854910714,64941,74755,-.042351682,7.419023,8.6589403
Georgia,083,0,5588.0615,1397.071,90.571503,6914.709,90246,6162,10437,1940,16.39529854910714,100683,113745,-.03758407,8.3406925,8.8414059
Georgia,083,1,17481.594,2208.741,90.571503,6914.709,10662,2140,2400,1940,16.39529854910714,13062,113745,-.0022858148,9.633832,8.8414059
Georgia,084,0,5102.1636,1285.7269,87.348701,6340.8267,90921,8418,10531,1940,16.39529854910714,101452,117806,-.017936269,8.2470722,8.7547646
Georgia,084,1,14241.556,2502.8818,87.348701,6340.8267,13954,3643,2400,1940,16.39529854910714,16354,117806,.010551245,9.3706446,8.7547646
Georgia,085,1,25672.938,3400.0457,87.924896,9356.3232,5548,1400,2400,1940,16.39529854910714,7948,51689,-.019346476,10.011126,9.1438074
Georgia,085,0,7320.8037,1223.0354,87.924896,9356.3232,38863,4830,4878,1940,16.39529854910714,43741,51689,-.00092863088,8.7156782,9.1438074
Georgia,086,1,31962.699,5654.2402,170.94121,18485.857,10096,1400,2000,1940,16.39529854910714,12096,56586,-.010603329,10.177646,9.8247614
Georgia,086,0,14287.151,2167.0876,170.94121,18485.857,42012,3488,2478,1940,16.39529854910714,44490,56586,.017848939,9.4026175,9.8247614
Idaho,087,1,19319.822,1625.983,87.425735,12120.867,6452,1759,2500,1940,16.39529854910714,8952,31918,-.023215741,9.7809715,9.4026842
Idaho,087,0,10107.396,1302.4434,87.425735,12120.867,18266,6275,4700,1940,16.39529854910714,22966,31918,.049345195,9.0830698,9.4026842
Idaho,088,0,11293.771,1872.4004,152.72957,14411.437,17027,2956,2955,1940,16.39529854910714,19982,31823,.000031423813,9.1507359,9.5757771
Idaho,088,1,18237.773,3938.4619,152.72957,14411.437,8563,2300,3278,1940,16.39529854910714,11841,31823,-.030732488,9.5679665,9.5757771
Idaho,089,1,16151.284,4396.7056,165.32532,14094.569,14325,5388,2550,1940,16.39529854910714,16875,49543,.057283573,9.3719978,9.553545
Idaho,089,0,11373.702,1947.8073,165.32532,14094.569,26118,7486,6550,1940,16.39529854910714,32668,49543,.018892679,9.1512156,9.553545
Idaho,090,0,8511.9063,2384.4829,152.86354,10666.57,19705,3274,2762,1940,16.39529854910714,22467,35736,.014327289,8.7205296,9.2748699
Idaho,090,1,15769.591,2832.2832,152.86354,10666.57,11010,1200,2259,1940,16.39529854910714,13269,35736,-.029633982,9.4678707,9.2748699
Idaho,091,0,10285.895,2392.0366,161.36435,12557.173,31362,3976,2359,1940,16.39529854910714,33721,50997,.031707749,8.9738407,9.4380474
Idaho,091,1,17093.131,3545.3711,161.36435,12557.173,14876,3064,2400,1940,16.39529854910714,17276,50997,.013020374,9.5139761,9.4380474
Illinois,092,0,15110.245,3080.3328,193.95671,17534.842,70957,6087,3344,1940,16.39529854910714,74301,101170,.02711278,9.3951511,9.771945
Illinois,092,1,22372.389,3693.5776,193.95671,17534.842,24069,3087,2800,1940,16.39529854910714,26869,101170,.0028368093,9.835145,9.771945
Illinois,093,0,21956.547,3442.4885,226.2701,25527.52,34095,4976,2600,1940,16.39529854910714,36695,50582,.046973232,9.8262854,10.147512
Illinois,093,1,32263.832,4660.8926,226.2701,25527.52,11787,4300,2100,1940,16.39529854910714,13887,50582,.043493733,10.225677,10.147512
Illinois,094,0,20390.053,4403.9468,279.19687,23373.645,41307,4100,1500,1940,16.39529854910714,42807,58423,.044503022,9.6794748,10.059364
